dataset_id,dataset_family,alpha,model_family,fixed_gbm_row_count,model_matched_row_count,coverage_delta_model_matched_minus_fixed,interval_score_delta_model_matched_minus_fixed,mean_width_delta_model_matched_minus_fixed,selected_variant,selection_rule,claim_status
nhanes_2017_2018_systolic_bp,nhanes,0.1,tree_ensemble,24,24,-0.00496401092082,6.74450147415,1.4421107263,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_analcatdata_chlamydia,openml,0.1,boosting,80,80,-0.035625,-35832.6474196,-38805.9220301,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_analcatdata_chlamydia,openml,0.1,instance_based,20,20,-0.04,29676.3249315,24990.8523115,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_analcatdata_chlamydia,openml,0.1,kernel,60,60,-0.03,23209.4564989,22765.6166344,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_analcatdata_chlamydia,openml,0.1,linear,20,20,-0.04,11474.1692181,11222.0950542,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_analcatdata_chlamydia,openml,0.1,linear_bayesian,5,5,-0.04,11474.1692181,11222.0950542,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_analcatdata_chlamydia,openml,0.1,sparse_linear,30,30,-0.04,11474.1692181,11222.0950542,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_analcatdata_chlamydia,openml,0.1,tree_ensemble,40,40,-0.03375,-21839.6039228,-27559.0659467,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_analcatdata_hiroshima_rate,openml,0.1,boosting,32,32,-0.0264423076923,0.412724310904,-0.670128692374,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_analcatdata_hiroshima_rate,openml,0.1,instance_based,8,8,-0.0596153846154,3.31698229892,1.92345439556,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_analcatdata_hiroshima_rate,openml,0.1,kernel,24,24,-0.0173076923077,0.953517196175,0.355648946177,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_analcatdata_hiroshima_rate,openml,0.1,linear,8,8,-0.00384615384615,4.47636779886,4.03334880939,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_analcatdata_hiroshima_rate,openml,0.1,linear_bayesian,2,2,-0.00384615384615,4.47636779886,4.03334880939,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_analcatdata_hiroshima_rate,openml,0.1,sparse_linear,12,12,-0.00384615384615,4.47636779886,4.03334880939,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_analcatdata_hiroshima_rate,openml,0.1,tree_ensemble,16,16,-0.0192307692308,2.3048438748,2.30854907579,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_analcatdata_hiroshima_rate_dedup,openml,0.1,boosting,32,32,-0.0299479166667,-20.4538388679,-23.4054788202,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_analcatdata_hiroshima_rate_dedup,openml,0.1,instance_based,8,8,0,40.9583700097,40.6780825699,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_analcatdata_hiroshima_rate_dedup,openml,0.1,kernel,24,24,-0.0208333333333,-31.8665200807,-32.7540061529,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_analcatdata_hiroshima_rate_dedup,openml,0.1,linear,8,8,-0.0625,-35.2741370003,-37.5041228967,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_analcatdata_hiroshima_rate_dedup,openml,0.1,linear_bayesian,2,2,-0.0625,-35.2741370003,-37.5041228967,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_analcatdata_hiroshima_rate_dedup,openml,0.1,sparse_linear,12,12,-0.0625,-35.2741370003,-37.5041228967,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_analcatdata_hiroshima_rate_dedup,openml,0.1,tree_ensemble,16,16,-0.00520833333333,15.0241277439,14.5729141132,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_arsenic_event_rate_panel,openml,0.1,boosting,32,32,-0.013671875,91.3022492035,-38.4618583062,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_arsenic_event_rate_panel,openml,0.1,instance_based,8,8,-0.0301339285714,606.963210059,201.030415218,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_arsenic_event_rate_panel,openml,0.1,kernel,24,24,0.00372023809524,248.629013922,361.832842612,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_arsenic_event_rate_panel,openml,0.1,linear,8,8,0.00223214285714,1309.93292199,1491.32783514,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_arsenic_event_rate_panel,openml,0.1,linear_bayesian,2,2,0.00223214285714,1309.93292199,1491.32783514,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_arsenic_event_rate_panel,openml,0.1,sparse_linear,12,12,0.00223214285714,1309.93292199,1491.32783514,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_arsenic_event_rate_panel,openml,0.1,tree_ensemble,16,16,-0.0390625,5987.35881342,5301.20290432,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_auto_price,openml,0.1,boosting,80,80,-0.0296875,937.46346861,397.397391487,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_auto_price,openml,0.1,instance_based,20,20,-0.040625,-55.3891341887,-1061.46943574,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_auto_price,openml,0.1,kernel,60,60,-0.0291666666667,142.697018126,-648.676723854,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_auto_price,openml,0.1,linear,20,20,-0.0375,-36.5578342697,-717.186891335,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_auto_price,openml,0.1,linear_bayesian,5,5,-0.0375,-36.5578342697,-717.186891335,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_auto_price,openml,0.1,sparse_linear,30,30,-0.0375,-36.5578342697,-717.186891335,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_auto_price,openml,0.1,tree_ensemble,40,40,-0.02421875,-590.5823978,-1392.56452364,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_bodyfat_percentage,openml,0.1,boosting,80,80,0.00637254901961,0.14560573694,1.44626466783,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_bodyfat_percentage,openml,0.1,instance_based,20,20,0.00196078431373,-0.162945904607,0.875312321175,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_bodyfat_percentage,openml,0.1,kernel,60,60,0.0235294117647,-3.45866243869,-0.469037462085,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_bodyfat_percentage,openml,0.1,linear,20,20,0,-4.07074933978,-1.42309745575,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_bodyfat_percentage,openml,0.1,linear_bayesian,5,5,0,-4.07074933978,-1.42309745575,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_bodyfat_percentage,openml,0.1,sparse_linear,30,30,0,-4.07074933978,-1.42309745575,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_bodyfat_percentage,openml,0.1,tree_ensemble,40,40,0.0127450980392,-1.42711659919,0.312799603222,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_california_housing_spatial_cell,openml,0.1,boosting,84,84,-0.0105641452958,32667.6436776,19019.9483414,no_coverage_eligible_variant,no coverage-eligible variant in paired cell,backend_sensitivity_evidence_not_method_selection
openml_california_housing_spatial_cell,openml,0.1,instance_based,12,12,-0.00851051720815,27671.3653439,6142.12876224,no_coverage_eligible_variant,no coverage-eligible variant in paired cell,backend_sensitivity_evidence_not_method_selection
openml_california_housing_spatial_cell,openml,0.1,linear,15,15,0.029484361135,-17124.11731,22487.4217277,no_coverage_eligible_variant,no coverage-eligible variant in paired cell,backend_sensitivity_evidence_not_method_selection
openml_california_housing_spatial_cell,openml,0.1,linear_bayesian,3,3,0.029484361135,-17124.11731,22487.4217277,no_coverage_eligible_variant,no coverage-eligible variant in paired cell,backend_sensitivity_evidence_not_method_selection
openml_california_housing_spatial_cell,openml,0.1,sparse_linear,18,18,0.029484361135,-17124.11731,22487.4217277,no_coverage_eligible_variant,no coverage-eligible variant in paired cell,backend_sensitivity_evidence_not_method_selection
openml_california_housing_spatial_cell,openml,0.1,tree_ensemble,24,24,-0.0107567725847,56676.2141799,12098.8016997,no_coverage_eligible_variant,no coverage-eligible variant in paired cell,backend_sensitivity_evidence_not_method_selection
openml_cholesterol_chol,openml,0.1,boosting,8,8,-0.016393442623,-7.75512396154,-4.05710763156,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_cholesterol_chol,openml,0.1,instance_based,8,8,-0.0286885245902,39.237929662,17.8296183397,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_cholesterol_chol,openml,0.1,kernel,16,16,-0.0614754098361,73.3109659608,43.4743743639,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_cholesterol_chol,openml,0.1,linear,14,14,-0.0245901639344,10.7084009607,11.28542951,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_cholesterol_chol,openml,0.1,linear_bayesian,2,2,-0.0245901639344,10.7084009607,11.28542951,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_cholesterol_chol,openml,0.1,tree_ensemble,16,16,-0.0276639344262,26.0786611778,0.471532390415,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_cps_85_wages,openml,0.1,boosting,32,32,-0.0321261682243,-0.00525765204132,-0.709094231977,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_cps_85_wages,openml,0.1,instance_based,8,8,-0.0420560747664,1.19342398157,-0.143695306778,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_cps_85_wages,openml,0.1,kernel,24,24,-0.0147975077882,-0.675581809773,0.543038830879,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_cps_85_wages,openml,0.1,linear,8,8,-0.018691588785,1.04097151641,0.978026643774,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_cps_85_wages,openml,0.1,linear_bayesian,2,2,-0.018691588785,1.04097151641,0.978026643774,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_cps_85_wages,openml,0.1,sparse_linear,12,12,-0.018691588785,1.04097151641,0.978026643774,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_cps_85_wages,openml,0.1,tree_ensemble,16,16,-0.0379672897196,1.43674208224,0.197902655138,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_delta_elevators_se,openml,0.1,boosting,32,32,0.00372570903361,0.000106879811154,0.000150361390957,no_coverage_eligible_variant,no coverage-eligible variant in paired cell,backend_sensitivity_evidence_not_method_selection
openml_delta_elevators_se,openml,0.1,instance_based,8,8,0.00183823529412,0.000769004233984,0.000361985044529,no_coverage_eligible_variant,no coverage-eligible variant in paired cell,backend_sensitivity_evidence_not_method_selection
openml_delta_elevators_se,openml,0.1,kernel,24,24,0.00582107843137,-5.81853387232e-05,0.000103993464435,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_delta_elevators_se,openml,0.1,linear,8,8,0.00709033613445,-4.86274993855e-05,0.000217694359294,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_delta_elevators_se,openml,0.1,linear_bayesian,2,2,0.00709033613445,-4.86274993855e-05,0.000217694359294,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_delta_elevators_se,openml,0.1,sparse_linear,12,12,0.00709033613445,-4.86274993855e-05,0.000217694359294,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_delta_elevators_se,openml,0.1,tree_ensemble,16,16,0.00475971638655,0.000294493552661,0.000166091068355,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_fishcatch_weight,openml,0.1,boosting,80,80,0.026953125,173.415544091,192.105677085,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_fishcatch_weight,openml,0.1,instance_based,20,20,0.03125,397.115317217,419.122581678,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_fishcatch_weight,openml,0.1,kernel,60,60,0.0208333333333,85.9573298464,108.091320907,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_fishcatch_weight,openml,0.1,linear,20,20,0.05625,342.859964489,377.342363072,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_fishcatch_weight,openml,0.1,linear_bayesian,5,5,0.05625,342.859964489,377.342363072,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_fishcatch_weight,openml,0.1,sparse_linear,30,30,0.05625,342.859964489,377.342363072,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_fishcatch_weight,openml,0.1,tree_ensemble,40,40,0.02890625,-10.9358476666,-14.7728742281,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_kin8nm_y,openml,0.1,boosting,32,32,-0.00179225137279,0.0308056887857,0.0285201100403,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_kin8nm_y,openml,0.1,instance_based,8,8,0.00137278828554,-0.0310019025351,-0.069487646147,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_kin8nm_y,openml,0.1,kernel,24,24,0.000966036200935,-0.0100906464781,-0.0150975855921,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_kin8nm_y,openml,0.1,linear,8,8,0.00427089688835,0.0979609321392,0.0789325278035,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_kin8nm_y,openml,0.1,linear_bayesian,2,2,0.00427089688835,0.0979609321392,0.0789325278035,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_kin8nm_y,openml,0.1,sparse_linear,12,12,0.00427089688835,0.0979609321392,0.0789325278035,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
openml_kin8nm_y,openml,0.1,tree_ensemble,16,16,0.00968578401464,0.00290879037213,0.00329600789344,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
